10-1-819	6	[2.355679609, 2.4194801640000003, 2.397806551, 2.403084676, 2.390459706, 2.4101165669999998, 2.40045813, 2.4071184469999998, 2.406107603, 2.390927689, 2.4588773980000003, 2.382085289, 2.442363314, 2.37651123, 2.35951122, 2.338869714, 2.371546985, 2.3914576170000004, 2.4108253699999995, 2.405311191, 2.38509774, 2.380240219, 2.383293236, 2.415504603, 2.543610966, 2.422809357, 2.409323916, 2.4217350850000003, 2.4408791450000002, 2.508239262, 2.4142039420000003, 2.4134241100000002, 2.396488257, 2.436190927, 2.4132516190000004, 2.417380584, 2.5074686859999997, 2.4217817010000005, 2.436222777, 2.445081848, ]
8-1-718	7	[2.4241603, 2.513154633, 2.4642858060000004, 2.4070608060000005, 2.49352439, 2.448318122, 2.479743539, 2.475443681, 2.5776341609999998, 2.4697036370000003, 2.448137519, 2.4674437940000002, 2.484304099, 2.3822207000000004, 2.4798420180000003, 2.451272678, 2.438740637, 2.4133763779999997, 2.438257493, 2.470183362, 2.464395295, 2.4608752469999997, 2.498398403, 2.4168263469999998, 2.4505265219999997, 2.45651108, 2.42625962, 2.465387832, 2.456993669, 2.468657863, 2.471690039, 2.460083551, 2.451909617, 2.470899536, 2.416948444, 2.509709339, 2.471027591, 2.4684211019999998, 2.4969409970000003, 2.415014131, ]
0-1-350	8	[2.348494949, 2.464710841, 2.3958168329999996, 2.402607493, 2.388426969, 2.372660787, 2.3810252080000005, 2.4300640259999997, 2.370903535, 2.4269590020000003, 2.395600104, 2.4349627419999997, 2.453362959, 2.399397881, 2.411947213, 2.414812064, 2.376741908, 2.41168456, 2.4347211809999996, 2.439405302, 2.393856421, 2.3920007290000003, 2.374586197, 2.386484549, 2.390060488, 2.4744469369999997, 2.443094473, 2.407730514, 2.464735099, 2.462641753, 2.352638058, 2.419972585, 2.403418323, 2.386673258, 2.391037387, 2.4709677479999996, 2.396688131, 2.428154954, 2.425382522, 2.4036157040000004, ]
12-1-462	6	[2.521229559, 2.495706113, 2.436515046, 2.429847403, 2.431770776, 2.468518543, 2.486319072, 2.563645236, 2.405785326, 2.4398091720000004, 2.431947505, 2.509560713, 2.505770671, 2.4629569129999997, 2.414969629, 2.459657226, 2.430552962, 2.457514503, 2.419760954, 2.489975469, 2.4565454110000005, 2.454907139, 2.474792802, 2.4813991339999997, 2.4272359470000002, 2.453155662, 2.445067573, 2.489811676, 2.454012611, 2.494715415, 2.4299777120000003, 2.4590019809999997, 2.466372377, 2.482152805, 2.489076488, 2.5258114989999996, 2.4661662939999998, 2.483904843, 2.465231525, 2.447184588, ]
15-1-593	6	[2.3872722540000004, 2.423885646, 2.4225416710000003, 2.701467783, 2.4443243919999995, 2.4704523259999998, 2.40006407, 2.407534773, 2.4388114759999997, 2.407543817, 2.437426385, 2.453637905, 2.480118474, 2.5202761920000003, 2.438681539, 2.3856349889999997, 2.381709403, 2.4551478629999997, 2.476753282, 2.441318145, 2.371735061, 2.442927338, 2.471280235, 2.389832487, 2.455743085, 2.391149805, 2.398470627, 2.418893093, 2.435607949, 2.4214694690000003, 2.4138294030000003, 2.424985093, 2.3958148550000002, 2.419701158, 2.3961274489999997, 2.4273598290000002, 2.408976476, 2.415116572, 2.398644832, 2.476341555, ]
12-0-662	8	[2.4348849930000003, 2.43645574, 2.406956798, 2.437844612, 2.438497237, 2.4422798940000003, 2.422136522, 2.4338732540000003, 2.41361306, 2.3980810220000004, 2.447164387, 2.4104433929999995, 2.415601868, 2.442136486, 2.483738062, 2.381294929, 2.432585944, 2.445436253, 2.379860725, 2.402361059, 2.4734407309999997, 2.437659327, 2.391586892, 2.3618414490000004, 2.441139354, 2.4201024770000004, 2.400482523, 2.452047923, 2.44117883, 2.488459466, 2.425164515, 2.4636224779999996, 2.4568158660000003, 2.446359363, 2.3853324650000003, 2.419444767, 2.480653467, 2.489420998, 2.435880391, 2.447422773, ]
7-0-707	7	[2.537545934, 2.491962481, 2.489164419, 2.470416461, 2.488173207, 2.505006312, 2.4741428819999998, 2.477371225, 2.4714324, 2.489534883, 2.461732094, 2.474435555, 2.538528827, 2.49193861, 2.472231711, 2.496823558, 2.5291105579999997, 2.486456999, 2.479934673, 2.452423011, 2.4365084269999997, 2.462617877, 2.5377675379999998, 2.509755158, 2.4916357959999997, 2.499777957, 2.460837957, 2.490883271, 2.482540877, 2.453004258, 2.476195815, 2.492116707, 2.484370196, 2.4821547660000003, 2.47816569, 2.497857659, 2.490669308, 2.457840661, 2.515634609, 2.44933557, ]
9-1-154	8	[2.453919551, 2.3759453200000005, 2.422170642, 2.393024829, 2.4248930520000003, 2.421726457, 2.4240413110000003, 2.3771525390000003, 2.421952842, 2.428890838, 2.356725413, 2.4152843639999997, 2.388680407, 2.446880298, 2.400500616, 2.408058025, 2.378170604, 2.383363587, 2.382809361, 2.4173282460000003, 2.43229252, 2.41458616, 2.417391132, 2.4364245319999998, 2.403541532, 2.417381459, 2.4186429570000003, 2.360396347, 2.388692572, 2.4018059160000003, 2.4567375030000003, 2.4043928150000005, 2.3930932790000004, 2.4689702159999998, 2.372105113, 2.36059134, 2.416556597, 2.429430528, 2.419330176, 2.403492271, ]
1-0-439	7	[2.419632792, 2.451959101, 2.403165644, 2.418460497, 2.39231418, 2.412584309, 2.437727554, 2.461102012, 2.466690437, 2.436390139, 2.3686890899999997, 2.442729983, 2.411339131, 2.404445102, 2.4262167019999996, 2.388577665, 2.431143916, 2.359826187, 2.397319612, 2.444378838, 2.382155194, 2.439212399, 2.401930812, 2.44902747, 2.413306425, 2.445106048, 2.4556656720000003, 2.432246975, 2.396382794, 2.461806602, 2.387155493, 2.4214913399999998, 2.420846125, 2.39933356, 2.436568095, 2.4180502120000003, 2.393207134, 2.426652, 2.412969882, 2.435895923, ]
5-1-543	6	[2.346907104, 2.4151186080000002, 2.356113221, 2.353450125, 2.428942555, 2.403821881, 2.360795566, 2.380297342, 2.385669728, 2.35791154, 2.35049874, 2.3959491150000005, 2.3459118909999996, 2.354362353, 2.368867325, 2.393731314, 2.375034625, 2.413499749, 2.3858266299999995, 2.423477052, 2.451886406, 2.381471133, 2.356228728, 2.397983865, 2.395517118, 2.410123478, 2.436016198, 2.4051222389999998, 2.461455955, 2.389469992, 2.367546049, 2.351682151, 2.455541315, 2.3747106369999997, 2.440811506, 2.336638903, 2.410374838, 2.390884627, 2.412781346, 2.4370498080000003, ]
