2-18-34-50-1424-0-11-210-57-213-1-50-106	43	[3.1320192410000005, 3.225233502, 3.1544170329999996, 3.10005466, 3.155623413, 3.119314245, 3.1040959769999996, 3.1970386659999996, 3.157493243, 3.175595469, 3.1510959750000005, 3.1740966530000003, 3.209098605, 3.24170736, 3.0927751900000002, 3.207569105, 3.1865567899999996, 3.115603709, 3.174767965, 3.1398419129999997, 3.1719509059999997, 3.1788072589999996, 3.1777797210000003, 3.157973677, 3.14608522, 3.1434878800000003, 3.188324805, 3.134853838, 3.1622438070000003, 3.123275178, 3.114410119, 3.1704252900000003, 3.167679595, 3.1632728529999996, 3.1716887000000002, 3.188203104, 3.155024024, 3.1216445239999997, 3.16777475, 3.1584146259999994, ]
3-13-53-63-302-0-26-28-28-103-3-28-493	33	[2.635136943, 2.6474134050000004, 2.6430523889999997, 2.644054567, 2.634454583, 2.6551782950000002, 2.627527045, 2.6389613940000003, 2.6411248529999996, 2.6332404040000004, 2.646318493, 2.642982813, 2.6461375910000005, 2.634357088, 2.6422378410000005, 2.644423879, 2.653725423, 2.658559784, 2.6423024550000003, 2.6428570390000004, 2.6387842310000003, 2.640220077, 2.625132366, 2.645297549, 2.652571584, 2.6436928469999996, 2.6570232190000005, 2.6316803639999997, 2.643671817, 2.627227684, 2.6465597770000007, 2.6340904380000003, 2.6486407, 2.640233399, 2.6346788410000004, 2.6497057450000003, 2.6504674060000006, 2.6205529949999997, 2.631957583, 2.656562268, ]
2-62-49-6-565-1-17-131-54-183-1-115-373	35	[2.6564322920000003, 2.646568031, 2.6486613350000003, 2.6717213890000004, 2.641474241, 2.685656504, 2.6519400460000004, 2.6797144319999995, 2.648591143, 2.656050704, 2.652849742, 2.6451437130000004, 2.685615696, 2.6567853310000005, 2.6754358710000004, 2.650737884, 2.65861616, 2.6429307790000003, 2.654832264, 2.6565654020000005, 2.665707352, 2.6589863769999997, 2.6678853350000002, 2.6495955119999994, 2.657814381, 2.654178484, 2.6515647670000004, 2.664441504, 2.6585879300000004, 2.6509599350000004, 2.6440987220000003, 2.650154489, 2.6659330049999994, 2.642899184, 2.650412076, 2.6637753079999995, 2.669823123, 2.658145298, 2.673379204, 2.6524899929999997, ]
2-12-15-3-226-1-12-347-38-250-1-121-694	36	[3.077287015, 3.066342057, 3.0023363780000003, 3.0157823909999997, 3.027985954, 3.0427345430000003, 3.0234762660000003, 3.024066848, 3.0528931110000004, 3.0289965030000006, 3.0473637700000005, 3.0522545779999994, 3.055225235, 3.0415218490000004, 3.036812316, 3.0735008889999995, 3.0541056650000002, 3.046378321, 2.995968115, 3.03438661, 3.063690428, 3.00327114, 3.037196792, 3.0226698669999994, 3.0328094410000004, 3.0189305049999997, 3.0183022370000003, 3.035534971, 3.077515106, 3.04314818, 3.040898246, 3.042911249, 3.009873285, 2.9719304729999996, 3.060543819, 3.0263608939999997, 3.0514973690000002, 3.079091352, 3.0395454809999998, 3.0312914280000003, ]
0-63-21-32-1540-1-10-7-46-228-2-115-92	42	[2.6510503579999996, 2.646460056, 2.626356535, 2.6304005409999998, 2.6428903219999995, 2.660510942, 2.635265499, 2.6376047139999996, 2.6243203260000003, 2.646611483, 2.639122186, 2.657053314, 2.655156378, 2.6289657190000004, 2.643227942, 2.6272148279999996, 2.6519186530000005, 2.634051772, 2.6541527910000005, 2.638781952, 2.6360414199999997, 2.6428511159999997, 2.641544925, 2.6421894939999997, 2.628263156, 2.632386465, 2.648461519, 2.626767262, 2.6402993850000005, 2.6528682960000003, 2.628170623, 2.636548753, 2.652456631, 2.635363936, 2.6471722990000006, 2.6261750960000003, 2.6392122830000004, 2.664141384, 2.655646746, 2.625313328, ]
2-27-41-49-80-0-0-100-54-182-2-123-391	42	[3.14852077, 3.1561067449999998, 3.156640741, 3.183539605, 3.1788206819999996, 3.2130782059999996, 3.136980409, 3.167467961, 3.2172322660000003, 3.2012090259999995, 3.1681906220000005, 3.1681008640000003, 3.161033048, 3.2076120450000003, 3.2051430629999995, 3.1827526200000005, 3.1744493100000004, 3.134756432, 3.2205309960000004, 3.1825445629999995, 3.2039891650000003, 3.2066530070000003, 3.133303001, 3.207144702, 3.215922761, 3.119856425, 3.2165949929999997, 3.156330727, 3.159894063, 3.1994819340000005, 3.1329919619999997, 3.1865634839999997, 3.16652826, 3.168794421, 3.138787419, 3.2063347529999997, 3.16108538, 3.1910206120000004, 3.173075395, 3.120781518, ]
3-6-18-10-1545-1-7-260-4-40-0-60-844	49	[2.7542182040000003, 2.7834544410000004, 2.7609994180000004, 2.7958846699999995, 2.762130161, 2.7843503039999997, 2.768640823, 2.795113709, 2.7855052960000006, 2.7841838169999997, 2.761876277, 2.7996393859999995, 2.7858198389999997, 2.7829454140000003, 2.771915726, 2.7995514260000007, 2.7643132150000005, 2.772694495, 2.7715236680000004, 2.7983066709999997, 2.788545948, 2.777545272, 2.777640931, 2.7775836730000005, 2.8018291749999995, 2.772041604, 2.7934148069999996, 2.7816997630000007, 2.7754405320000006, 2.7823936529999997, 2.7810116450000004, 2.776627145, 2.7524851079999997, 2.7819868999999997, 2.773952882, 2.77877495, 2.7774611909999996, 2.776395415, 2.737194049, 2.8034535120000004, ]
0-38-32-55-1141-0-13-243-54-180-3-77-866	36	[2.9663315480000003, 2.9584367900000004, 2.9438067879999994, 2.9387156730000004, 2.982173831, 2.972522941, 2.9370717300000004, 2.971869109, 2.9637666340000006, 2.963332612, 2.9646396490000004, 2.967765965, 2.9566876659999997, 2.9772310870000003, 2.9587528429999996, 2.96100659, 2.9395793350000003, 3.0061478860000004, 2.9126263440000004, 2.9398267309999997, 2.9551041650000003, 2.9437769790000003, 2.968030355, 2.9574972489999998, 2.9680169889999997, 2.976798318, 2.952007212, 2.977592792, 2.9818216829999997, 2.961041314, 2.98290948, 2.9629422949999995, 2.967359864, 2.9623723349999995, 2.967906529, 3.017898591, 2.953951574, 2.966816332, 2.9415348030000006, 2.9836578539999996, ]
1-48-59-3-414-0-23-292-58-233-1-23-262	39	[2.8093085099999997, 2.8295983780000005, 2.836868465, 2.844682584, 2.8274302899999997, 2.872067883, 2.8240496159999995, 2.8487305170000004, 2.8467138510000005, 2.860419061, 2.816434281, 2.8488796049999996, 2.8129689050000004, 2.8663732659999996, 2.8464428639999997, 2.858193901, 2.856489745, 2.8116897540000005, 2.8500674, 2.874655746, 2.8546472680000003, 2.839915035, 2.797888627, 2.8495305710000003, 2.8148189470000005, 2.8550672689999996, 2.870794617, 2.8386357630000005, 2.849287019, 2.8477533160000004, 2.838368851, 2.8252145630000003, 2.798705941, 2.857656021, 2.8369981459999996, 2.85225884, 2.8264091860000002, 2.8429891659999997, 2.878212599, 2.892921726, ]
1-10-0-34-461-1-29-296-54-44-3-49-123	42	[3.1103445380000005, 3.176018375, 3.1321945439999994, 3.2051218770000003, 3.1823124, 3.1374622929999996, 3.1253754739999997, 3.207627288, 3.2054393940000003, 3.220278065, 3.136200524, 3.1875385709999997, 3.183743685, 3.147211665, 3.191814339, 3.1599019480000003, 3.1741115950000003, 3.1963614970000003, 3.206964926, 3.163308932, 3.175426358, 3.1619300769999996, 3.1840901069999994, 3.206535236, 3.210957026, 3.166156026, 3.1856666369999997, 3.216534709, 3.1596775859999995, 3.1007628620000003, 3.2096233419999995, 3.1498383129999996, 3.1923132929999998, 3.1323519490000002, 3.1502313600000003, 3.2101818649999996, 3.1460331470000003, 3.1899421209999996, 3.2052117430000004, 3.1478187470000005, ]
