time, main.main,main.sha512,main.sha1,main.new,sha1.digest,sha1.hexdigest,sha1._digest,sha1.handle,sha1.__init__,sha2_64.digest,sha2_64.hexdigest,sha2_64.handle,sha2_64.__init__,sha512._digest
1.572666168,1,0,1,0,0,1,0,1,0,1,0,1,0,1
1.625771342,1,0,1,0,0,1,0,1,0,1,0,1,0,1
1.5993898899999999,1,0,1,0,0,1,0,1,0,1,0,1,0,1
1.635579394,1,0,1,0,0,1,0,1,0,1,0,1,0,0
1.6222817630000002,1,0,1,0,0,1,0,1,0,1,0,1,0,0
1.637205975,1,0,1,0,0,1,0,1,0,1,0,1,0,0
1.723286401,1,0,1,0,0,1,0,1,0,1,0,0,0,1
1.7201849099999997,1,0,1,0,0,1,0,1,0,1,0,0,0,1
1.710899464,1,0,1,0,0,1,0,1,0,1,0,0,0,1
1.7108828340000002,1,0,1,0,0,1,0,1,0,1,0,0,0,0
1.705905501,1,0,1,0,0,1,0,1,0,1,0,0,0,0
1.683547556,1,0,1,0,0,1,0,1,0,1,0,0,0,0
1.726668186,1,0,1,0,0,1,0,1,0,0,1,0,1,1
1.7054587300000001,1,0,1,0,0,1,0,1,0,0,1,0,1,1
1.689316603,1,0,1,0,0,1,0,1,0,0,1,0,1,1
1.6912136740000001,1,0,1,0,0,1,0,1,0,0,1,0,1,0
1.7120657300000002,1,0,1,0,0,1,0,1,0,0,1,0,1,0
1.677376808,1,0,1,0,0,1,0,1,0,0,1,0,1,0
1.754979545,1,0,1,0,0,1,0,1,0,1,1,1,0,1
1.6268831979999998,1,0,1,0,0,1,0,1,0,1,1,1,0,1
1.61340882,1,0,1,0,0,1,0,1,0,1,1,1,0,1
1.590487119,1,0,1,0,0,1,0,1,0,1,1,1,0,0
1.5928808589999999,1,0,1,0,0,1,0,1,0,1,1,1,0,0
1.595363486,1,0,1,0,0,1,0,1,0,1,1,1,0,0
1.7537568580000003,1,0,1,0,0,1,0,1,0,0,0,0,1,1
1.72634563,1,0,1,0,0,1,0,1,0,0,0,0,1,1
1.73483072,1,0,1,0,0,1,0,1,0,0,0,0,1,1
1.7663983189999999,1,0,1,0,0,1,0,1,0,0,0,0,1,0
1.7308850300000003,1,0,1,0,0,1,0,1,0,0,0,0,1,0
1.723397191,1,0,1,0,0,1,0,1,0,0,0,0,1,0
1.70168191,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1.6971688829999998,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1.7037368009999998,1,0,1,0,0,1,0,1,0,1,1,0,0,1
1.682225943,1,0,1,0,0,1,0,1,0,1,1,0,0,0
3.072823713,1,0,1,0,0,1,0,1,0,1,1,0,0,0
1.689271443,1,0,1,0,0,1,0,1,0,1,1,0,0,0
1.694310972,1,0,1,0,0,1,0,1,0,1,1,0,1,1
1.716212804,1,0,1,0,0,1,0,1,0,1,1,0,1,1
1.6585999200000001,1,0,1,0,0,1,0,1,0,1,1,0,1,1
1.6698522650000003,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1.674495323,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1.6756354530000002,1,0,1,0,0,1,0,1,0,1,1,0,1,0
1.6679275420000002,1,0,1,0,0,1,0,1,0,0,0,1,1,1
1.656265456,1,0,1,0,0,1,0,1,0,0,0,1,1,1
1.662210975,1,0,1,0,0,1,0,1,0,0,0,1,1,1
1.6849780119999997,1,0,1,0,0,1,0,1,0,0,0,1,1,0
