10-10-10-1   7   [1.572666168, 1.625771342, 1.5993898899999999]
10-10-10-0   8   [1.635579394, 1.6222817630000002, 1.637205975]
10-10-8-1   8   [1.723286401, 1.7201849099999997, 1.710899464]
10-10-8-0   9   [1.7108828340000002, 1.705905501, 1.683547556]
10-10-5-1   7   [1.726668186, 1.7054587300000001, 1.689316603]
10-10-5-0   8   [1.6912136740000001, 1.7120657300000002, 1.677376808]
10-10-14-1   6   [1.754979545, 1.6268831979999998, 1.61340882]
10-10-14-0   7   [1.590487119, 1.5928808589999999, 1.595363486]
10-10-1-1   8   [1.7537568580000003, 1.72634563, 1.73483072]
10-10-1-0   9   [1.7663983189999999, 1.7308850300000003, 1.723397191]
10-10-12-1   7   [1.70168191, 1.6971688829999998, 1.7037368009999998]
10-10-12-0   8   [1.682225943, 3.072823713, 1.689271443]
10-10-13-1   6   [1.694310972, 1.716212804, 1.6585999200000001]
10-10-13-0   7   [1.6698522650000003, 1.674495323, 1.6756354530000002]
10-10-3-1   7   [1.6679275420000002, 1.656265456, 1.662210975]
10-10-3-0   8   [1.6849780119999997, 1.6706697419999998, 1.649916758]
10-10-9-1   7   [1.7112554329999998, 1.7076005580000002, 1.6964971820000003]
10-10-9-0   8   [1.711736675, 1.6908165, 1.6810726850000002]
10-10-7-1   6   [1.6017341610000002, 1.5924361630000001, 1.616918245]
10-10-7-0   7   [1.609254719, 1.5752094250000002, 1.590799983]
10-10-2-1   8   [1.661358918, 1.6831614569999997, 1.6581211889999998]
10-10-2-0   9   [1.653601768, 1.661179731, 1.6644680250000001]
10-10-4-1   8   [1.6840111150000001, 1.7146582749999997, 1.6922961340000002]
10-10-4-0   9   [1.6964667820000001, 1.690524575, 1.691907726]
10-10-15-1   5   [2.737133284, 1.5949024340000002, 1.6093201910000001]
10-10-15-0   6   [1.6287826289999998, 1.617434988, 1.5943881060000002]
10-10-6-1   7   [1.589347145, 1.5812698639999998, 1.616746749]
10-10-6-0   8   [1.6561606050000002, 1.613088626, 1.611821111]
10-10-0-1   9   [1.753382018, 1.764335337, 1.7439169010000002]
10-10-0-0   10   [1.7436342769999997, 1.7691663499999999, 1.7504853559999998]
10-10-11-1   6   [1.616502466, 1.623115798, 1.6111014180000003]
10-10-11-0   7   [1.625725131, 1.620392469, 1.634688284]
10-8-10-1   8   [1.7307180500000001, 1.691972741, 1.6876614060000001]
10-8-10-0   9   [1.710542285, 1.6917724400000003, 1.6952713460000002]
10-8-8-1   9   [1.7818662799999998, 1.775936008, 1.7682261349999997]
10-8-8-0   10   [1.7641636049999998, 1.7936483109999999, 1.760940138]
10-8-5-1   8   [1.775123473, 1.7749155559999998, 1.7702170799999999]
10-8-5-0   9   [1.778211373, 1.764793755, 1.773795507]
10-8-14-1   7   [1.694564078, 1.7257868849999998, 1.731472795]
10-8-14-0   8   [1.716872444, 1.7163631719999999, 1.7434164630000002]
10-8-1-1   9   [1.7944513899999999, 1.8189095180000001, 1.8124331130000002]
10-8-1-0   10   [1.795804221, 1.8079385540000001, 1.7999770920000002]
10-8-12-1   8   [1.765681924, 1.7822678229999998, 1.7833945189999998]
10-8-12-0   9   [1.827653442, 1.789865697, 1.7909605749999997]
