time, main.kruskal,main.make_set,main.make_tuple,main.create_nodes,main.convert_to_set,main.output_result,main.main,union_find.union,union_find.find,union_find.add_node,union_find.__init__
5.262716471,1,1,0,0,1,1,1,1,0,1,0
5.350458283999999,1,1,0,0,1,1,1,1,0,1,0
5.330099383,1,1,0,0,1,1,1,1,0,1,0
5.327373103999999,1,1,0,0,1,1,1,1,0,0,0
5.237545113,1,1,0,0,1,1,1,1,0,0,0
5.285877287,1,1,0,0,1,1,1,1,0,0,0
3.3844618260000003,1,1,0,0,1,1,1,0,1,0,1
3.464496118,1,1,0,0,1,1,1,0,1,0,1
3.472057234,1,1,0,0,1,1,1,0,1,0,1
3.4366725689999997,1,1,0,0,1,1,1,1,1,1,0
3.419574435,1,1,0,0,1,1,1,1,1,1,0
3.437022625,1,1,0,0,1,1,1,1,1,1,0
5.294162904999999,1,1,0,0,1,1,1,0,0,0,1
5.230874729,1,1,0,0,1,1,1,0,0,0,1
5.340776187,1,1,0,0,1,1,1,0,0,0,1
3.4619886109999998,1,1,0,0,1,1,1,1,1,0,0
3.4659916969999998,1,1,0,0,1,1,1,1,1,0,0
3.499451382,1,1,0,0,1,1,1,1,1,0,0
3.4165690810000005,1,1,0,0,1,1,1,1,1,0,1
3.4229310479999997,1,1,0,0,1,1,1,1,1,0,1
3.427846269,1,1,0,0,1,1,1,1,1,0,1
5.246258176,1,1,0,0,1,1,1,0,0,1,1
5.744755001,1,1,0,0,1,1,1,0,0,1,1
5.372930609,1,1,0,0,1,1,1,0,0,1,1
5.360775082,1,1,0,0,1,1,1,1,0,0,1
5.215014701,1,1,0,0,1,1,1,1,0,0,1
5.32869235,1,1,0,0,1,1,1,1,0,0,1
3.496508786,1,1,0,0,1,1,1,0,1,1,1
3.448414175,1,1,0,0,1,1,1,0,1,1,1
3.463542661,1,1,0,0,1,1,1,0,1,1,1
5.443973446,1,1,0,0,1,1,1,0,0,1,0
5.351449015,1,1,0,0,1,1,1,0,0,1,0
5.382939912,1,1,0,0,1,1,1,0,0,1,0
3.4788729579999997,1,1,0,0,1,1,1,0,1,0,0
3.503259616,1,1,0,0,1,1,1,0,1,0,0
3.485350109,1,1,0,0,1,1,1,0,1,0,0
3.428846692,1,1,0,0,1,1,1,1,1,1,1
3.434153181,1,1,0,0,1,1,1,1,1,1,1
3.4267795640000003,1,1,0,0,1,1,1,1,1,1,1
3.4452935890000003,1,1,0,0,1,1,1,0,1,1,0
3.4610701429999997,1,1,0,0,1,1,1,0,1,1,0
3.427072602,1,1,0,0,1,1,1,0,1,1,0
5.5585510110000005,1,1,0,0,1,1,1,0,0,0,0
5.24342996,1,1,0,0,1,1,1,0,0,0,0
5.374521196,1,1,0,0,1,1,1,0,0,0,0
5.304300189,1,1,0,0,1,1,1,1,0,1,1
5.329682846,1,1,0,0,1,1,1,1,0,1,1
5.35539797,1,1,0,0,1,1,1,1,0,1,1
5.112775002,0,0,0,1,0,1,0,1,0,1,0
5.226084155,0,0,0,1,0,1,0,1,0,1,0
5.144100205,0,0,0,1,0,1,0,1,0,1,0
5.237773746,0,0,0,1,0,1,0,1,0,0,0
5.205096938,0,0,0,1,0,1,0,1,0,0,0
5.245631064,0,0,0,1,0,1,0,1,0,0,0
3.287214793,0,0,0,1,0,1,0,0,1,0,1
3.278529567,0,0,0,1,0,1,0,0,1,0,1
3.276615119,0,0,0,1,0,1,0,0,1,0,1
3.276425305,0,0,0,1,0,1,0,1,1,1,0
3.359305319,0,0,0,1,0,1,0,1,1,1,0
3.2888971369999997,0,0,0,1,0,1,0,1,1,1,0
5.135571245,0,0,0,1,0,1,0,0,0,0,1
5.156158488,0,0,0,1,0,1,0,0,0,0,1
5.251765157,0,0,0,1,0,1,0,0,0,0,1
3.232573212,0,0,0,1,0,1,0,1,1,0,0
3.297763713,0,0,0,1,0,1,0,1,1,0,0
3.280854421,0,0,0,1,0,1,0,1,1,0,0
3.2891609570000004,0,0,0,1,0,1,0,1,1,0,1
3.317671674,0,0,0,1,0,1,0,1,1,0,1
3.291505344,0,0,0,1,0,1,0,1,1,0,1
5.15622151,0,0,0,1,0,1,0,0,0,1,1
5.123782479,0,0,0,1,0,1,0,0,0,1,1
5.050056824,0,0,0,1,0,1,0,0,0,1,1
5.065102323,0,0,0,1,0,1,0,1,0,0,1
5.111732156,0,0,0,1,0,1,0,1,0,0,1
5.13838573,0,0,0,1,0,1,0,1,0,0,1
3.334273247,0,0,0,1,0,1,0,0,1,1,1
3.2775611039999997,0,0,0,1,0,1,0,0,1,1,1
3.3931239250000003,0,0,0,1,0,1,0,0,1,1,1
5.137327776,0,0,0,1,0,1,0,0,0,1,0
5.181276041,0,0,0,1,0,1,0,0,0,1,0
5.103096239,0,0,0,1,0,1,0,0,0,1,0
3.324021919,0,0,0,1,0,1,0,0,1,0,0
3.33051135,0,0,0,1,0,1,0,0,1,0,0
3.2499408360000004,0,0,0,1,0,1,0,0,1,0,0
3.3289814609999997,0,0,0,1,0,1,0,1,1,1,1
3.322255381,0,0,0,1,0,1,0,1,1,1,1
3.311730131,0,0,0,1,0,1,0,1,1,1,1
3.272955021,0,0,0,1,0,1,0,0,1,1,0
3.273707794,0,0,0,1,0,1,0,0,1,1,0
