time, dealer.replace_card,dealer.update_game,dealer.output_scores,dealer.create_stacks,dealer.create_deck,dealer.simulate_game,dealer.__init__,main.main,main.generate_players,main.generate_dealer,player.get_index_of_closest_stack,player.choose_correct_stack,player.discard,player.__init__
2.070972044,1,1,0,0,1,1,1,1,0,1,1,0,1,0
2.079187738,1,1,0,0,1,1,1,1,0,1,1,0,1,0
2.097815797,1,1,0,0,1,1,1,1,0,1,1,0,1,0
2.13220897,1,1,0,0,1,1,1,1,0,1,1,0,0,0
2.1642329489999996,1,1,0,0,1,1,1,1,0,1,1,0,0,0
2.133344347,1,1,0,0,1,1,1,1,0,1,1,0,0,0
2.190366602,1,1,0,0,1,1,1,1,0,1,0,1,0,1
2.177503563,1,1,0,0,1,1,1,1,0,1,0,1,0,1
2.136264512,1,1,0,0,1,1,1,1,0,1,0,1,0,1
2.020225503,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2.066417525,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2.056001864,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2.2151121720000004,1,1,0,0,1,1,1,1,0,1,0,0,0,1
2.259358766,1,1,0,0,1,1,1,1,0,1,0,0,0,1
2.186715748,1,1,0,0,1,1,1,1,0,1,0,0,0,1
2.064187826,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2.077978529,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2.0692078400000002,1,1,0,0,1,1,1,1,0,1,1,1,0,0
2.072663866,1,1,0,0,1,1,1,1,0,1,1,1,0,1
2.094866514,1,1,0,0,1,1,1,1,0,1,1,1,0,1
2.092389989,1,1,0,0,1,1,1,1,0,1,1,1,0,1
2.1130912889999998,1,1,0,0,1,1,1,1,0,1,0,0,1,1
2.155546188,1,1,0,0,1,1,1,1,0,1,0,0,1,1
2.165142168,1,1,0,0,1,1,1,1,0,1,0,0,1,1
2.166209161,1,1,0,0,1,1,1,1,0,1,1,0,0,1
2.1002058710000004,1,1,0,0,1,1,1,1,0,1,1,0,0,1
2.177583432,1,1,0,0,1,1,1,1,0,1,1,0,0,1
2.1326012530000003,1,1,0,0,1,1,1,1,0,1,0,1,1,1
2.05509781,1,1,0,0,1,1,1,1,0,1,0,1,1,1
2.076804491,1,1,0,0,1,1,1,1,0,1,0,1,1,1
2.129790066,1,1,0,0,1,1,1,1,0,1,0,0,1,0
2.15837544,1,1,0,0,1,1,1,1,0,1,0,0,1,0
2.15387818,1,1,0,0,1,1,1,1,0,1,0,0,1,0
2.176336826,1,1,0,0,1,1,1,1,0,1,0,1,0,0
2.129927323,1,1,0,0,1,1,1,1,0,1,0,1,0,0
2.116778094,1,1,0,0,1,1,1,1,0,1,0,1,0,0
2.022893632,1,1,0,0,1,1,1,1,0,1,1,1,1,1
2.00613221,1,1,0,0,1,1,1,1,0,1,1,1,1,1
2.0817293770000003,1,1,0,0,1,1,1,1,0,1,1,1,1,1
2.108005567,1,1,0,0,1,1,1,1,0,1,0,1,1,0
2.0809603,1,1,0,0,1,1,1,1,0,1,0,1,1,0
2.097763159,1,1,0,0,1,1,1,1,0,1,0,1,1,0
2.167343711,1,1,0,0,1,1,1,1,0,1,0,0,0,0
2.184090759,1,1,0,0,1,1,1,1,0,1,0,0,0,0
2.161511658,1,1,0,0,1,1,1,1,0,1,0,0,0,0
2.095447334,1,1,0,0,1,1,1,1,0,1,1,0,1,1
2.0570184140000003,1,1,0,0,1,1,1,1,0,1,1,0,1,1
2.0920633239999997,1,1,0,0,1,1,1,1,0,1,1,0,1,1
2.062511611,1,1,0,0,1,1,1,0,0,1,1,0,1,0
2.070016597,1,1,0,0,1,1,1,0,0,1,1,0,1,0
2.068093981,1,1,0,0,1,1,1,0,0,1,1,0,1,0
2.154479834,1,1,0,0,1,1,1,0,0,1,1,0,0,0
2.116000783,1,1,0,0,1,1,1,0,0,1,1,0,0,0
2.117272836,1,1,0,0,1,1,1,0,0,1,1,0,0,0
2.130086458,1,1,0,0,1,1,1,0,0,1,0,1,0,1
2.127935062,1,1,0,0,1,1,1,0,0,1,0,1,0,1
2.1358858759999997,1,1,0,0,1,1,1,0,0,1,0,1,0,1
2.026088503,1,1,0,0,1,1,1,0,0,1,1,1,1,0
2.049417207,1,1,0,0,1,1,1,0,0,1,1,1,1,0
2.04775523,1,1,0,0,1,1,1,0,0,1,1,1,1,0
2.250504045,1,1,0,0,1,1,1,0,0,1,0,0,0,1
2.174798855,1,1,0,0,1,1,1,0,0,1,0,0,0,1
2.1663769879999997,1,1,0,0,1,1,1,0,0,1,0,0,0,1
2.036850799,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2.17313861,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2.113395437,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2.089036285,1,1,0,0,1,1,1,0,0,1,1,1,0,1
2.064183068,1,1,0,0,1,1,1,0,0,1,1,1,0,1
2.068951169,1,1,0,0,1,1,1,0,0,1,1,1,0,1
2.121514018,1,1,0,0,1,1,1,0,0,1,0,0,1,1
2.106227476,1,1,0,0,1,1,1,0,0,1,0,0,1,1
2.172847837,1,1,0,0,1,1,1,0,0,1,0,0,1,1
2.110728983,1,1,0,0,1,1,1,0,0,1,1,0,0,1
2.1410824710000003,1,1,0,0,1,1,1,0,0,1,1,0,0,1
2.1229698630000002,1,1,0,0,1,1,1,0,0,1,1,0,0,1
2.095290792,1,1,0,0,1,1,1,0,0,1,0,1,1,1
2.12188103,1,1,0,0,1,1,1,0,0,1,0,1,1,1
2.084669077,1,1,0,0,1,1,1,0,0,1,0,1,1,1
2.11806484,1,1,0,0,1,1,1,0,0,1,0,0,1,0
2.1250203549999997,1,1,0,0,1,1,1,0,0,1,0,0,1,0
2.150529748,1,1,0,0,1,1,1,0,0,1,0,0,1,0
2.106858956,1,1,0,0,1,1,1,0,0,1,0,1,0,0
2.1305491379999997,1,1,0,0,1,1,1,0,0,1,0,1,0,0
2.095668201,1,1,0,0,1,1,1,0,0,1,0,1,0,0
2.065397553,1,1,0,0,1,1,1,0,0,1,1,1,1,1
2.0323040289999996,1,1,0,0,1,1,1,0,0,1,1,1,1,1
2.0274558060000003,1,1,0,0,1,1,1,0,0,1,1,1,1,1
2.05313379,1,1,0,0,1,1,1,0,0,1,0,1,1,0
2.157438729,1,1,0,0,1,1,1,0,0,1,0,1,1,0
2.15444656,1,1,0,0,1,1,1,0,0,1,0,1,1,0
2.353621879,1,1,0,0,1,1,1,0,0,1,0,0,0,0
2.201473843,1,1,0,0,1,1,1,0,0,1,0,0,0,0
2.16853821,1,1,0,0,1,1,1,0,0,1,0,0,0,0
2.075602778,1,1,0,0,1,1,1,0,0,1,1,0,1,1
2.086289813,1,1,0,0,1,1,1,0,0,1,1,0,1,1
2.076844929,1,1,0,0,1,1,1,0,0,1,1,0,1,1
2.160479555,1,1,0,0,1,1,1,0,1,1,1,0,1,0
2.0824470489999998,1,1,0,0,1,1,1,0,1,1,1,0,1,0
2.1281238670000002,1,1,0,0,1,1,1,0,1,1,1,0,1,0
2.138417767,1,1,0,0,1,1,1,0,1,1,1,0,0,0
2.186211238,1,1,0,0,1,1,1,0,1,1,1,0,0,0
2.1089659469999997,1,1,0,0,1,1,1,0,1,1,1,0,0,0
2.171159474,1,1,0,0,1,1,1,0,1,1,0,1,0,1
2.147995109,1,1,0,0,1,1,1,0,1,1,0,1,0,1
2.082657481,1,1,0,0,1,1,1,0,1,1,0,1,0,1
2.009827417,1,1,0,0,1,1,1,0,1,1,1,1,1,0
2.029998831,1,1,0,0,1,1,1,0,1,1,1,1,1,0
2.057117039,1,1,0,0,1,1,1,0,1,1,1,1,1,0
2.168760618,1,1,0,0,1,1,1,0,1,1,0,0,0,1
2.186571951,1,1,0,0,1,1,1,0,1,1,0,0,0,1
2.183493237,1,1,0,0,1,1,1,0,1,1,0,0,0,1
2.053938972,1,1,0,0,1,1,1,0,1,1,1,1,0,0
2.062748905,1,1,0,0,1,1,1,0,1,1,1,1,0,0
2.071001424,1,1,0,0,1,1,1,0,1,1,1,1,0,0
2.098630709,1,1,0,0,1,1,1,0,1,1,1,1,0,1
2.157735356,1,1,0,0,1,1,1,0,1,1,1,1,0,1
2.111382499,1,1,0,0,1,1,1,0,1,1,1,1,0,1
2.116524963,1,1,0,0,1,1,1,0,1,1,0,0,1,1
2.122732182,1,1,0,0,1,1,1,0,1,1,0,0,1,1
2.1575530720000002,1,1,0,0,1,1,1,0,1,1,0,0,1,1
2.148027096,1,1,0,0,1,1,1,0,1,1,1,0,0,1
2.125545874,1,1,0,0,1,1,1,0,1,1,1,0,0,1
2.11155049,1,1,0,0,1,1,1,0,1,1,1,0,0,1
2.1259706900000004,1,1,0,0,1,1,1,0,1,1,0,1,1,1
2.0842849119999998,1,1,0,0,1,1,1,0,1,1,0,1,1,1
2.052148894,1,1,0,0,1,1,1,0,1,1,0,1,1,1
2.149679022,1,1,0,0,1,1,1,0,1,1,0,0,1,0
2.1545830809999997,1,1,0,0,1,1,1,0,1,1,0,0,1,0
2.108566123,1,1,0,0,1,1,1,0,1,1,0,0,1,0
2.127343352,1,1,0,0,1,1,1,0,1,1,0,1,0,0
2.125238752,1,1,0,0,1,1,1,0,1,1,0,1,0,0
2.309928358,1,1,0,0,1,1,1,0,1,1,0,1,0,0
2.002035441,1,1,0,0,1,1,1,0,1,1,1,1,1,1
2.012298324,1,1,0,0,1,1,1,0,1,1,1,1,1,1
2.020797175,1,1,0,0,1,1,1,0,1,1,1,1,1,1
2.087469776,1,1,0,0,1,1,1,0,1,1,0,1,1,0
2.088261268,1,1,0,0,1,1,1,0,1,1,0,1,1,0
2.071135128,1,1,0,0,1,1,1,0,1,1,0,1,1,0
2.177247658,1,1,0,0,1,1,1,0,1,1,0,0,0,0
2.173351349,1,1,0,0,1,1,1,0,1,1,0,0,0,0
2.171453765,1,1,0,0,1,1,1,0,1,1,0,0,0,0
