4050	4	[0.44647566499999997, 0.4437408560000001, 0.44594065299999996, 0.44502122600000005, 0.453767612, 0.447183262, 0.4406736560000001, 0.44273945200000003, 0.44429156700000005, 0.44689226600000004, 0.44521696000000005, 0.45050185300000006, 0.44739951800000005, 0.44704686400000004, 0.43749328300000007, 0.443123131, 0.446055228, 0.45301180100000005, 0.44566656499999996, 0.44633093900000004, 0.447671901, 0.44658849000000006, 0.453637223, 0.45284127, 0.44889374300000007, 0.444702452, 0.44678332900000006, 0.444979323, 0.446131159, 0.44499802600000005, 0.45375456900000005, 0.44679293600000003, 0.45030802, 0.439918631, 0.44429658800000005, 0.44305423800000004, 0.44533512199999997, 0.449713738, 0.44702802900000005, 0.444702847, ]
15	8	[0.6610658140000001, 0.666289904, 0.6736983859999999, 0.6657844560000001, 0.67139755, 0.678384673, 0.681406432, 0.6698360329999999, 0.682834269, 0.673037322, 0.657103474, 0.667925195, 0.669241174, 0.669721107, 0.679733022, 0.671459054, 0.6738348459999999, 0.6698152199999998, 0.6632370410000001, 0.6633062350000001, 0.667941187, 0.6663002489999998, 0.665525516, 0.6720505720000001, 0.674047293, 0.669494625, 0.6753554409999999, 0.668741652, 0.6723290149999999, 0.670277462, 0.657451783, 0.6601151660000001, 0.673437923, 0.6729104769999998, 0.6720790409999999, 0.6677986840000001, 0.6751672059999998, 0.687733031, 0.6691458479999999, 0.6675406640000001, ]
194	9	[0.613621594, 0.6177899179999999, 0.610066625, 0.61325192, 0.618458881, 0.617488322, 0.61693253, 0.6076718130000001, 0.607988867, 0.608408936, 0.608390128, 0.607280275, 0.607514425, 0.6286552830000001, 0.617903206, 0.606696066, 0.604172575, 0.6095592590000001, 0.6129262270000001, 0.6167633800000001, 0.6160616790000001, 0.628634669, 0.6123316350000001, 0.616027749, 0.6217959780000001, 0.61639887, 0.6249162780000002, 0.614528692, 0.61275307, 0.599627782, 0.604827089, 0.605709887, 0.610025684, 0.599805239, 0.607943025, 0.6168494630000001, 0.606054061, 0.60156935, 0.614728636, 0.6163007520000001, ]
196	9	[0.614176399, 0.6197903090000001, 0.6216761110000001, 0.614148067, 0.6200768250000002, 0.622761627, 0.610371838, 0.6037949579999999, 0.623734221, 0.612287208, 0.6189120960000001, 0.6024488330000001, 0.621304096, 0.618287748, 0.616899206, 0.6200747520000001, 0.6047746420000001, 0.620891874, 0.627872486, 0.6139139410000001, 0.6106717850000001, 0.6085571620000001, 0.606432535, 0.6089703470000001, 0.6143808150000001, 0.6118704430000002, 0.622223213, 0.609760029, 0.6233226300000001, 0.602379298, 0.611775826, 0.6166483060000001, 0.611578695, 0.6191391560000001, 0.610957062, 0.6108991460000002, 0.62390749, 0.609548551, 0.618568418, 0.6211226730000001, ]
617	7	[0.6086026170000001, 0.623443649, 0.605894535, 0.59810557, 0.610789545, 0.608997609, 0.6089537760000001, 0.606787235, 0.6054901480000001, 0.608210489, 0.603338924, 0.62142977, 0.623493988, 0.6075467680000001, 0.6073910910000001, 0.6090465580000001, 0.6103585970000001, 0.601361922, 0.5954409360000001, 0.6009960670000001, 0.609185858, 0.606698679, 0.603421414, 0.614569095, 0.612762864, 0.6132270550000001, 0.613030364, 0.619457948, 0.6104748870000001, 0.6106749400000001, 0.605948481, 0.6313679200000001, 0.607484217, 0.600617731, 0.6102771130000001, 0.604056052, 0.6063373350000001, 0.622604924, 0.6087866990000002, 0.605606174, ]
1339	5	[0.5747537720000001, 0.5600202750000001, 0.5561294940000001, 0.555253952, 0.561141799, 0.5587828020000001, 0.5589544100000001, 0.556064497, 0.5505133440000001, 0.560127197, 0.565661739, 0.5622477480000001, 0.5591582190000001, 0.560392926, 0.55907415, 0.5602597420000001, 0.5744810800000001, 0.561347582, 0.5542202540000001, 0.5550784879999999, 0.5512191260000001, 0.5649348750000001, 0.558029036, 0.561048797, 0.561183054, 0.5641281930000001, 0.5595594240000001, 0.559502183, 0.5520749540000001, 0.5641921860000001, 0.556596987, 0.5606203080000001, 0.562227405, 0.5479093840000001, 0.558679186, 0.567308068, 0.560408442, 0.549552391, 0.557829918, 0.5564361980000001, ]
4009	4	[0.4407905710000001, 0.44430098200000007, 0.45034136500000005, 0.44210578000000006, 0.44128227800000003, 0.44409464600000004, 0.44635468, 0.44924776400000005, 0.446443306, 0.4389809860000001, 0.441917343, 0.44966556500000004, 0.44858745, 0.44482056400000003, 0.44581617200000007, 0.451104519, 0.4428100180000001, 0.44519501100000003, 0.43777210699999997, 0.44132734600000006, 0.444066755, 0.448060739, 0.4458791200000001, 0.447100023, 0.4414249460000001, 0.44619919900000005, 0.45034576500000006, 0.44260857900000006, 0.44571655, 0.443671643, 0.45012464599999996, 0.45223289400000005, 0.449623549, 0.442579693, 0.442378035, 0.446388019, 0.444019148, 0.440562255, 0.44703000700000006, 0.44382580000000005, ]
1137	7	[0.658667485, 0.6640254990000001, 0.6658250970000001, 0.652489873, 0.660061021, 0.665309887, 0.669993648, 0.6584086600000001, 0.650201205, 0.6573686170000002, 0.668742519, 0.6699750820000001, 0.6570604290000002, 0.662231714, 0.684383193, 0.6587485210000001, 0.678845715, 0.6765675099999999, 0.656246482, 0.670569521, 0.660815629, 0.677093298, 0.6756438520000001, 0.667913957, 0.665503048, 0.663474133, 0.663817792, 0.667243102, 0.6764818690000001, 0.667919328, 0.659523657, 0.6655434060000001, 0.6612372020000001, 0.681022477, 0.6745558490000001, 0.6639973800000001, 0.661354385, 0.669746207, 0.661755631, 0.6564543860000001, ]
1082	7	[0.6653072720000001, 0.661445458, 0.6825792420000001, 0.670220219, 0.6604165310000001, 0.673011944, 0.673964944, 0.6717760740000001, 0.6660130320000001, 0.677362262, 0.668895097, 0.664959029, 0.6725866, 0.679041003, 0.672084288, 0.676673965, 0.668672641, 0.6730524680000001, 0.664686697, 0.6587851060000001, 0.657576283, 0.67512556, 0.663342621, 0.6800112610000001, 0.6721507369999999, 0.684424052, 0.6896747470000001, 0.688034576, 0.671490015, 0.691618985, 0.6655270280000001, 0.668331156, 0.67278273, 0.6769928940000001, 0.666642671, 0.6635935180000001, 0.675628369, 0.6675124640000001, 0.667720525, 0.676421484, ]
3704	5	[0.609175329, 0.6002446610000001, 0.6109208840000001, 0.611177064, 0.6183663340000001, 0.610460894, 0.599973105, 0.608825163, 0.6046501590000001, 0.618706746, 0.611154237, 0.615005239, 0.615266179, 0.6065827859999999, 0.606461903, 0.608455239, 0.6011305220000001, 0.612035807, 0.608519016, 0.620971699, 0.606283083, 0.6104257850000001, 0.625801759, 0.612240804, 0.59058178, 0.610210102, 0.609417281, 0.613578404, 0.613482763, 0.6038378900000001, 0.6186904930000001, 0.611211345, 0.610147202, 0.6057651990000001, 0.6056031030000001, 0.605346532, 0.6129017710000001, 0.603614504, 0.596977862, 0.6091872950000001, ]
