123-24-100	8	[0.24149417799999995, 0.23718576599999963, 0.2320806219999998, 0.23498296100000005, 0.22929029099999987, 0.2312753609999998, 0.23396615600000015, 0.2313286609999996, 0.23984520600000003, 0.2343324800000004, 0.23083658500000004, 0.23818471699999977, 0.2383213369999999, 0.2340552459999996, 0.23073656100000006, 0.23426904000000004, 0.2373351640000001, 0.23429161499999962, 0.23444100300000015, 0.23150165199999995, 0.235013044, 0.23545551399999987, 0.23001227000000046, 0.23438055999999996, 0.23136289199999993, 0.2375173020000001, 0.23191404400000026, 0.23208543400000003, 0.23154904499999995, 0.23360184399999984, 0.23207962999999987, 0.23249127699999983, 0.2337817499999999, 0.22959455400000017, 0.2351281860000003, 0.23672242999999993, 0.2337263540000003, 0.23029291500000015, 0.23204628199999977, 0.23755322700000026, ]
17-0-37	14	[0.24818870700000017, 0.24489695399999967, 0.24087822600000042, 0.24240864399999928, 0.24059747700000012, 0.23637551599999984, 0.2414747089999998, 0.24059732499999953, 0.23405111699999992, 0.23505003999999996, 0.2310889020000002, 0.2332768350000003, 0.24871203799999986, 0.23503575700000034, 0.23591075699999964, 0.23861642900000035, 0.23978186700000004, 0.24208837399999972, 0.23341339799999972, 0.2367513429999999, 0.23483461000000005, 0.23735119800000026, 0.2419216930000001, 0.24207462999999985, 0.24171870699999953, 0.238835452, 0.2366463620000001, 0.2388707240000003, 0.23783468100000027, 0.23814609699999956, 0.23867996300000005, 0.23666262299999952, 0.24234450699999988, 0.23898714799999965, 0.23648545699999968, 0.23996340199999988, 0.23966684800000015, 0.237863237, 0.23796858200000015, 0.23929933599999975, ]
103-7-66	9	[0.23950645299999973, 0.2301382300000001, 0.23969935100000006, 0.23135956200000019, 0.23101205800000013, 0.23154590799999974, 0.24217106399999988, 0.230038462, 0.22839094400000004, 0.22992990400000002, 0.23355994699999982, 0.23072185099999976, 0.23726449599999988, 0.2303315429999997, 0.23328530300000017, 0.24540690799999965, 0.2375389939999999, 0.23296689200000031, 0.2326244289999999, 0.231075637, 0.2312872640000001, 0.23243089300000008, 0.233624571, 0.227768556, 0.23309501, 0.23473706800000027, 0.2298999180000001, 0.22912650499999998, 0.22629784499999994, 0.23280604599999988, 0.23791201200000023, 0.23447371199999978, 0.23313790700000014, 0.23088511300000025, 0.2299355089999997, 0.23211413999999975, 0.2314259729999999, 0.23473864099999986, 0.24180347699999993, 0.2312689950000002, ]
45-12-104	10	[0.23226212199999985, 0.234217852, 0.226165446, 0.2305693360000003, 0.22466427700000047, 0.23799532500000042, 0.227822266, 0.22804233599999968, 0.22723041099999985, 0.2273769950000002, 0.22765404500000042, 0.23449141299999976, 0.227567976, 0.233449743, 0.22823352399999974, 0.22627847899999987, 0.22711475299999995, 0.2279987779999999, 0.22970854400000018, 0.2298545609999998, 0.22842638299999996, 0.22937917399999996, 0.2274600440000003, 0.2324759740000002, 0.22698429299999967, 0.22676658200000022, 0.2286693419999999, 0.23106784699999983, 0.23394400400000004, 0.2313954090000001, 0.23195946700000025, 0.23054977700000023, 0.2387707990000001, 0.22965781799999974, 0.23099049900000024, 0.23664627100000013, 0.2263266490000002, 0.2295454170000002, 0.23241923500000006, 0.23076741300000014, ]
57-11-78	8	[0.22928805699999977, 0.2305913270000004, 0.2283270230000003, 0.22907885399999994, 0.22663920100000023, 0.22729596500000016, 0.2301865190000001, 0.23244852900000001, 0.22608629299999983, 0.2315975090000002, 0.22859653899999977, 0.23288257199999984, 0.22923907099999985, 0.22738575600000033, 0.23393979100000006, 0.22986431899999982, 0.23131646100000003, 0.22823078899999993, 0.2278352560000001, 0.2268014070000004, 0.23375397299999978, 0.23778870900000015, 0.22847112899999988, 0.230426397, 0.22873381699999973, 0.230428592, 0.2312530559999999, 0.2285487559999999, 0.22978818099999998, 0.22922634500000028, 0.2266107930000003, 0.231714733, 0.2340654350000002, 0.22715463199999997, 0.22851199499999986, 0.23042608600000047, 0.22932843100000033, 0.23078321499999976, 0.23424577100000032, 0.22832889000000023, ]
119-23-43	5	[0.23053392399999995, 0.23445924699999976, 0.23755279100000015, 0.23002197800000035, 0.23081973700000002, 0.236127282, 0.23090401400000005, 0.2374397880000001, 0.2308222390000001, 0.237181246, 0.23347768600000007, 0.22729624699999995, 0.23458194700000012, 0.22937739199999996, 0.2357266619999998, 0.23070770100000004, 0.23146423300000007, 0.22708454300000014, 0.2251921750000001, 0.23590304900000003, 0.23190117600000004, 0.2373069029999999, 0.2278500219999997, 0.23083873599999993, 0.23003078899999974, 0.23815746999999998, 0.23088794899999998, 0.22680882600000007, 0.22992143200000026, 0.2340787009999996, 0.23799093500000001, 0.2284743520000001, 0.23433565700000036, 0.23815642699999984, 0.23198019400000014, 0.22705591000000025, 0.22787506400000046, 0.23131382000000045, 0.2290503880000001, 0.2332206910000001, ]
21-2-67	12	[0.2403488610000002, 0.23291295699999992, 0.23111494599999993, 0.23676568899999983, 0.23510417599999966, 0.23832355900000035, 0.2357288230000001, 0.23400436999999963, 0.23399435899999999, 0.22795893600000028, 0.23310186799999988, 0.2299937329999997, 0.2334507910000001, 0.23038606700000042, 0.24142252200000014, 0.2452053030000001, 0.23368938700000008, 0.23281212599999979, 0.23529848299999978, 0.23318252799999994, 0.23390527500000013, 0.2299073370000002, 0.23138047299999975, 0.23528861, 0.23576986600000005, 0.23078889200000008, 0.23681010899999988, 0.23832466799999974, 0.23035294100000048, 0.2404130630000001, 0.2289545529999999, 0.23611100399999962, 0.2328551700000001, 0.23514475800000012, 0.2332772310000002, 0.2337882109999998, 0.23531013600000028, 0.2337824030000002, 0.230842859, 0.23306040400000017, ]
121-8-42	10	[0.23377097400000002, 0.229290926, 0.23347711300000018, 0.23588605100000004, 0.23797985000000033, 0.2378197339999999, 0.24032940699999994, 0.234143231, 0.23470527100000016, 0.23302560999999988, 0.23098436300000014, 0.24126702399999989, 0.23260901499999997, 0.23356980100000024, 0.23509173200000033, 0.2391152049999996, 0.2290319580000002, 0.233412929, 0.2352420989999997, 0.23332412699999994, 0.2365171840000002, 0.23307114699999998, 0.23467924799999995, 0.23308539200000045, 0.23595972899999973, 0.2345773200000001, 0.23195575700000015, 0.23641545499999994, 0.24405028500000014, 0.232866252, 0.2380380449999997, 0.23348821200000014, 0.23338219399999982, 0.23862099699999995, 0.23572300800000034, 0.23558982499999992, 0.2317210959999998, 0.23314205500000007, 0.23494639799999995, 0.23050351000000013, ]
84-25-0	13	[0.23907627700000011, 0.239242693, 0.23513638500000011, 0.23242583099999958, 0.2366887400000004, 0.23389730199999947, 0.23473556400000017, 0.2366823290000002, 0.23430393699999996, 0.23493374900000008, 0.23388322799999983, 0.23657625799999948, 0.23764630399999964, 0.24190166500000032, 0.23922363099999977, 0.2343585720000001, 0.23458591999999978, 0.234401729, 0.24016558900000007, 0.23715729600000035, 0.2350196320000002, 0.2335927090000003, 0.2332885349999998, 0.24341272500000022, 0.23569189200000018, 0.23730596700000017, 0.23814949599999968, 0.23252414599999982, 0.23546718199999983, 0.239956909, 0.23290880599999975, 0.2382067710000002, 0.23679124600000012, 0.24403884800000064, 0.23729262800000006, 0.235279405, 0.2375285899999997, 0.23907480999999997, 0.23561845900000034, 0.23887622899999972, ]
45-12-115	8	[0.22702299399999992, 0.22900404200000013, 0.2268264040000001, 0.232903984, 0.23352787399999997, 0.2390198299999997, 0.2328828620000003, 0.2302632029999998, 0.22866489300000037, 0.23220845099999998, 0.2286028360000003, 0.2302247460000002, 0.23081518800000023, 0.2329204810000003, 0.228048072, 0.23607554899999972, 0.23009473800000002, 0.23089335700000024, 0.23020965100000002, 0.2282188350000003, 0.22350960099999995, 0.22825888300000008, 0.22732812100000022, 0.235234363, 0.23885267700000012, 0.22772458399999973, 0.2283106290000001, 0.22886846000000016, 0.22579312100000015, 0.2289448329999999, 0.23097245700000002, 0.226437271, 0.22930252100000015, 0.22744075899999983, 0.225107752, 0.237364613, 0.254387355, 0.23192138900000003, 0.23061301400000023, 0.22899543200000005, ]
0-8-38	15	[0.23520802100000004, 0.23287397799999976, 0.23844343599999984, 0.23497575899999967, 0.24270857600000006, 0.237466827, 0.2326349000000003, 0.2351548509999999, 0.23206626900000016, 0.238414476, 0.23503566200000003, 0.23428006600000018, 0.24016916000000021, 0.2461035210000002, 0.2372424259999999, 0.2376602120000002, 0.23499874499999995, 0.23404934599999994, 0.23596920499999996, 0.2431548109999997, 0.23548887400000051, 0.2315888479999999, 0.24486445000000057, 0.23410752699999993, 0.2339063420000005, 0.234184344, 0.238044425, 0.23563253699999986, 0.23513140199999993, 0.23648380300000005, 0.2350613509999997, 0.23418300400000014, 0.23347638000000037, 0.23548044300000015, 0.23631962000000017, 0.23434066200000014, 0.2338466640000001, 0.23523611200000039, 0.24181773100000026, 0.23590087499999957, ]
