16-8-72	15	[0.24223820200000024, 0.23492635900000014, 0.23827599999999993, 0.23574676399999994, 0.24001338600000022, 0.23772481899999987, 0.24190285199999995, 0.23557638400000025, 0.234685947, 0.241953219, 0.23523892800000024, 0.23799453900000023, 0.23605915600000005, 0.25113094599999997, 0.2361641950000002, 0.24561366600000012, 0.24504607200000006, 0.23747188799999996, 0.2351241129999999, 0.24070119600000028, 0.2374727919999997, 0.23812494000000006, 0.2405126580000001, 0.2376287239999999, 0.23469068700000006, 0.23806947800000033, 0.2341446460000003, 0.23288154100000025, 0.24268316999999984, 0.23534290099999966, 0.23792489799999972, 0.24022671200000012, 0.2371902800000001, 0.23427796999999995, 0.240747265, 0.23558215000000038, 0.23571824699999988, 0.23799554700000014, 0.24000453499999974, 0.23416528000000003, ]
69-24-57	10	[0.2321665519999998, 0.23380746399999985, 0.23146571000000016, 0.2319078990000003, 0.23328904999999978, 0.22948354199999965, 0.23166119600000012, 0.2368203750000002, 0.23396096800000032, 0.23351677000000004, 0.2412616230000002, 0.23410905300000007, 0.23831846999999984, 0.23853329100000042, 0.23227727299999978, 0.23352683500000015, 0.2349620240000001, 0.23122466600000013, 0.23321925099999996, 0.23647326199999963, 0.2319233190000003, 0.23379500600000025, 0.23758823500000004, 0.2409660210000002, 0.23666595799999968, 0.23523508199999998, 0.2335220210000002, 0.23059755000000015, 0.23465842000000015, 0.234574469, 0.23912305400000022, 0.23397129700000008, 0.23640259499999994, 0.23341367700000015, 0.23613997899999983, 0.23939859500000038, 0.23969400000000007, 0.23234475600000026, 0.2340619909999999, 0.23776588200000015, ]
66-23-43	9	[0.2328548589999997, 0.23251630599999995, 0.2328824410000001, 0.23162751399999992, 0.2333241039999998, 0.2300457640000002, 0.23717574100000016, 0.23760293499999996, 0.24034090600000013, 0.2345040410000001, 0.23298617900000007, 0.2384374069999997, 0.2330779839999999, 0.24398381600000008, 0.230210676, 0.23061077500000016, 0.23768954599999992, 0.23265884199999975, 0.23237461599999998, 0.2304470679999997, 0.23576284400000036, 0.23216496499999995, 0.23182487300000032, 0.23251194099999983, 0.23978451499999975, 0.23477623600000008, 0.2337249250000002, 0.2343194340000001, 0.24011142800000007, 0.23347785600000037, 0.22978063700000018, 0.23218475500000002, 0.23483556000000005, 0.2380162349999999, 0.2353642090000001, 0.23376747500000006, 0.23210870399999983, 0.231155287, 0.2345811339999999, 0.22717547000000016, ]
69-17-86	10	[0.22953756400000014, 0.23830861199999998, 0.2317126169999999, 0.23177985199999984, 0.2308324370000001, 0.23241816899999979, 0.229926807, 0.22841660399999997, 0.23131486099999998, 0.229324509, 0.2373996199999997, 0.22976800300000022, 0.23087997499999968, 0.2316761860000005, 0.23194330099999982, 0.23585002999999993, 0.23560326399999987, 0.23057155600000012, 0.23125793499999991, 0.23051090500000004, 0.23268341599999998, 0.23181063200000018, 0.22725525800000002, 0.23408444699999986, 0.2344503229999999, 0.23101987999999984, 0.23149777100000035, 0.22945207699999992, 0.22976415399999972, 0.23015290300000002, 0.2338394140000002, 0.23366951900000021, 0.23369604700000002, 0.22607967800000006, 0.2306395590000001, 0.22871613899999987, 0.23196385600000013, 0.24064509099999976, 0.2348504189999998, 0.22640592599999998, ]
113-21-3	10	[0.23663307999999983, 0.235074, 0.23999371400000014, 0.2331256319999997, 0.23289632500000002, 0.23422070299999964, 0.2357871140000003, 0.23535930800000004, 0.24296085399999967, 0.23450689600000008, 0.23806788499999998, 0.23438527199999992, 0.24081576100000035, 0.2416227590000002, 0.23251352800000014, 0.23914938400000008, 0.23509898900000037, 0.23535436600000015, 0.2352513580000002, 0.23543042400000003, 0.23520752599999994, 0.23256821999999966, 0.2403977460000002, 0.2399878470000001, 0.23349312099999997, 0.2335132780000002, 0.23660430899999962, 0.23600024400000041, 0.235766951, 0.236786693, 0.23362708599999982, 0.234006704, 0.24075709600000028, 0.23659806700000008, 0.23375764999999982, 0.23233782299999994, 0.24553890899999953, 0.23720612100000027, 0.23454677900000043, 0.23464987500000012, ]
72-10-21	12	[0.2338420000000001, 0.23118816800000008, 0.23717370700000018, 0.23401929399999988, 0.23141270700000005, 0.23033271599999994, 0.23464077500000036, 0.23724156699999988, 0.2336272039999998, 0.22675873099999988, 0.23088656899999993, 0.22848339299999987, 0.2331694259999999, 0.23021605700000025, 0.23236971299999976, 0.231511464, 0.22806654500000034, 0.2302948180000004, 0.23985813100000009, 0.23709902999999954, 0.23604194400000011, 0.23022674900000029, 0.23181940499999998, 0.22912344900000026, 0.23453766100000006, 0.23134003100000022, 0.23733280000000034, 0.22945472899999997, 0.2304223409999997, 0.2316881770000001, 0.22955317799999975, 0.22926843800000007, 0.23550198, 0.2377297340000002, 0.23226783399999995, 0.2316838910000003, 0.23387958100000006, 0.2325958530000003, 0.23427853099999973, 0.22967636899999988, ]
62-28-72	9	[0.2272535389999999, 0.2346834630000001, 0.23489357599999972, 0.2247655850000001, 0.23195913099999999, 0.22779953499999994, 0.23092720499999997, 0.22609993900000003, 0.22600476100000044, 0.22696242499999997, 0.23841672899999988, 0.22520112300000017, 0.22696605199999986, 0.22666749000000008, 0.22731316200000018, 0.2300078189999999, 0.22627485899999966, 0.2342134090000001, 0.2287537369999999, 0.22738659100000014, 0.2284947449999999, 0.2248820010000001, 0.23506294400000005, 0.22915463300000027, 0.22891662899999998, 0.22689706500000018, 0.2274197939999998, 0.22783274099999984, 0.22851875500000007, 0.2289202050000001, 0.2261728999999999, 0.2346759249999999, 0.2281057259999999, 0.22799116399999964, 0.23573500699999972, 0.22453520799999982, 0.2315345780000002, 0.23707601200000017, 0.22876820100000028, 0.22805083700000006, ]
116-23-24	9	[0.23657232800000028, 0.23221883599999993, 0.22819042600000028, 0.22810372299999981, 0.22666437100000003, 0.2287077919999998, 0.2343125279999998, 0.23372216700000026, 0.2279594770000002, 0.23421274300000006, 0.23001096300000023, 0.22849507299999994, 0.22778609900000024, 0.22919167899999993, 0.23048062699999994, 0.23175734199999987, 0.2282449630000003, 0.23315280000000005, 0.23381593, 0.2313420940000004, 0.23199981899999988, 0.23289420199999977, 0.23976230399999965, 0.2285163560000001, 0.2338080389999999, 0.2349944620000004, 0.23205462100000007, 0.23559720299999976, 0.23199976399999978, 0.23197688800000016, 0.24778609399999985, 0.23565389199999975, 0.23364543500000012, 0.22912484300000013, 0.23152678599999987, 0.23594686099999995, 0.23489772799999997, 0.22970441700000022, 0.23046487100000013, 0.23329408799999962, ]
50-15-36	10	[0.23322981499999962, 0.23089740800000014, 0.23676050700000006, 0.2336601690000002, 0.23109918100000026, 0.23754884500000006, 0.23500284299999974, 0.2331128490000003, 0.24107894899999982, 0.23411417599999984, 0.23495585800000018, 0.23310255199999963, 0.23057320499999978, 0.2350580899999999, 0.23135239000000007, 0.2365818179999999, 0.2401644329999999, 0.23406645500000023, 0.23614634200000006, 0.24063900899999968, 0.23142691299999996, 0.2321483510000002, 0.23034884499999997, 0.23981481100000002, 0.23207626999999986, 0.23071125599999975, 0.23396949599999983, 0.2330034440000004, 0.2375484619999999, 0.23166044400000008, 0.2352807170000002, 0.24550160200000004, 0.23501962799999987, 0.2316607979999996, 0.23159806400000038, 0.22943282700000012, 0.23981803200000007, 0.23233441499999996, 0.23418457800000025, 0.23410271400000005, ]
19-0-14	13	[0.23061700699999976, 0.23761065799999992, 0.23687925299999968, 0.23435432800000022, 0.235101346, 0.2318140070000001, 0.23574144899999983, 0.2395095180000002, 0.2313164780000001, 0.23022890000000018, 0.23977849900000026, 0.23515705900000006, 0.24121723300000042, 0.23259388999999997, 0.2459235719999997, 0.23195540400000025, 0.23387284399999997, 0.23493461900000012, 0.23447956100000056, 0.23551190600000016, 0.23360626000000018, 0.23632501699999997, 0.23208277600000038, 0.24069260999999997, 0.2397855729999998, 0.2329991090000001, 0.23359952699999997, 0.23125033400000028, 0.2371504419999999, 0.23620236000000006, 0.23723083299999992, 0.2344917099999999, 0.23891682700000016, 0.2339340110000001, 0.2313989860000003, 0.23092808799999975, 0.2342855049999999, 0.23222489300000015, 0.24314347099999978, 0.233305133, ]
