13-6-64	13	[0.23435731999999998, 0.22689021899999995, 0.2311997800000003, 0.22980147399999984, 0.23419508400000044, 0.23769955500000028, 0.22880099200000004, 0.22716187599999982, 0.22980668000000026, 0.23084609499999997, 0.22976343300000002, 0.2310321740000001, 0.23484707800000004, 0.22875135700000016, 0.23214577500000022, 0.2310829919999997, 0.23640742999999986, 0.22838535699999962, 0.23102447400000026, 0.2289416209999997, 0.22619977700000016, 0.23714324100000006, 0.229549118, 0.22450008900000018, 0.22800045599999974, 0.22851679600000008, 0.22932604499999965, 0.22827792000000002, 0.226088485, 0.22854080799999998, 0.23636624299999998, 0.23092016299999996, 0.22686198800000001, 0.23576770300000005, 0.2284676029999999, 0.22684962799999964, 0.23129072200000023, 0.2276842480000001, 0.2257278089999999, 0.23341835899999985, ]
24-3-106	11	[0.2262591020000002, 0.2335782919999998, 0.2293114329999999, 0.22899030100000006, 0.2315580429999997, 0.23120933399999988, 0.2280162459999997, 0.23085037400000008, 0.23190899999999992, 0.22968632700000002, 0.22977828099999975, 0.22922944299999992, 0.23043661400000026, 0.23524383800000015, 0.2295168780000001, 0.22945515400000005, 0.23302875499999987, 0.23048145899999994, 0.23059439499999979, 0.22580439600000002, 0.23502101600000014, 0.23795905799999995, 0.23039064600000003, 0.2291752220000003, 0.23253488900000008, 0.23768233200000033, 0.24084785100000028, 0.2265696570000002, 0.23071549000000013, 0.22844464799999997, 0.22753062300000026, 0.22905398199999993, 0.229705638, 0.2274887600000004, 0.22572181700000016, 0.2302111400000002, 0.23629595400000003, 0.2282362739999999, 0.23012484300000002, 0.22778259899999975, ]
104-1-78	11	[0.22754180400000035, 0.22908976000000036, 0.2292004649999999, 0.2312342110000003, 0.23115007399999987, 0.22861286400000003, 0.2322418200000005, 0.23609915599999987, 0.22808360100000025, 0.23010460599999982, 0.23531574200000005, 0.23212905999999967, 0.235191414, 0.23117424999999958, 0.23221120000000006, 0.23009657100000025, 0.23844541699999988, 0.22990674700000024, 0.23188027, 0.23382083200000015, 0.22918136200000028, 0.23243208100000023, 0.23551976100000038, 0.2346541750000002, 0.23507586500000022, 0.23326242399999986, 0.22971943800000005, 0.22855471800000027, 0.23643925700000024, 0.23241715799999962, 0.23199189099999984, 0.22996288600000003, 0.22828342599999996, 0.22768266599999976, 0.23129947400000006, 0.22718802300000007, 0.22705477799999985, 0.23108688599999994, 0.23240948999999977, 0.2329958249999997, ]
40-28-2	13	[0.23324547200000012, 0.23667080000000018, 0.2324828349999999, 0.2292987019999999, 0.24029216500000006, 0.2348424539999998, 0.2311219499999999, 0.23006074900000018, 0.2307440599999997, 0.23010237400000033, 0.22896738900000013, 0.22729986300000027, 0.23602997400000003, 0.23355207300000025, 0.2330537989999999, 0.2376765289999998, 0.23576179100000028, 0.23099639100000013, 0.25558743800000006, 0.23246642599999978, 0.23920926900000028, 0.2268497840000001, 0.2341596570000002, 0.22858686299999986, 0.23052269599999997, 0.2378263810000001, 0.2373287679999998, 0.22950491799999995, 0.2316749549999999, 0.23004484699999983, 0.23855163599999996, 0.23071214899999992, 0.23057954200000008, 0.2287080730000004, 0.23253859999999982, 0.233662088, 0.23022073499999962, 0.23263171100000024, 0.23400208000000022, 0.23821434099999994, ]
88-18-62	9	[0.23699987800000022, 0.2303204299999999, 0.23782366100000019, 0.22774886799999994, 0.2315521020000002, 0.2283148439999998, 0.2286515699999998, 0.22968622299999986, 0.22986851799999997, 0.22878221599999993, 0.22904248100000002, 0.2255833960000002, 0.2370134209999999, 0.22640589199999983, 0.23063256199999982, 0.22823376400000006, 0.227745804, 0.2270299950000001, 0.2304254170000002, 0.23127826900000015, 0.22859020799999996, 0.22793474800000002, 0.2226079030000001, 0.2289974469999998, 0.23558173999999976, 0.23006822799999993, 0.228702105, 0.2253673850000002, 0.2297287670000001, 0.2279820309999998, 0.22360101900000018, 0.22406406499999987, 0.22863499099999984, 0.23451253800000016, 0.23017469199999985, 0.22915138700000037, 0.22824837799999997, 0.22767324800000033, 0.22967067499999994, 0.23612313100000026, ]
72-19-5	12	[0.23315687700000032, 0.22748127399999962, 0.23336228000000014, 0.23538727599999998, 0.23361614099999972, 0.23396397099999966, 0.2346124650000001, 0.22756832299999985, 0.23749588100000008, 0.23248823199999968, 0.23885432599999978, 0.2321496070000002, 0.2342631129999999, 0.23068070900000004, 0.2288350750000001, 0.23120687400000017, 0.22871831500000006, 0.2345956440000001, 0.23201096300000001, 0.2291881069999997, 0.2301078310000002, 0.22973272300000014, 0.22969428899999977, 0.24242705900000017, 0.23009664200000035, 0.23222368999999965, 0.23088494999999964, 0.235309349, 0.23260498600000012, 0.22806477399999991, 0.23182117499999988, 0.23115384500000014, 0.2380518490000001, 0.23243097199999996, 0.23290766699999965, 0.2343463670000001, 0.229244016, 0.23287871500000001, 0.23076187900000011, 0.23458826300000002, ]
74-18-118	9	[0.22879581599999987, 0.22943287600000017, 0.22961197700000024, 0.23028451599999977, 0.22798811099999972, 0.22950547300000013, 0.22621768099999962, 0.23009128499999987, 0.22879995100000006, 0.23009246699999997, 0.23903758199999992, 0.23529195299999994, 0.230517957, 0.22902717900000003, 0.2314544660000002, 0.22758572899999985, 0.23427004500000015, 0.22472088300000026, 0.229096701, 0.23247212699999986, 0.23074113799999996, 0.22754734399999998, 0.23054165400000004, 0.226127988, 0.22792270699999984, 0.2303309950000001, 0.23518878600000015, 0.22895331300000032, 0.227457947, 0.2278691079999997, 0.22669849299999978, 0.23259594700000008, 0.22851713299999998, 0.22790329499999995, 0.23414869100000013, 0.23320462100000006, 0.22849608600000026, 0.22717213300000028, 0.22847801200000006, 0.2318104540000001, ]
103-23-99	6	[0.2300234940000001, 0.22947583799999993, 0.2292682069999996, 0.23209861000000043, 0.23191427399999975, 0.23634343000000024, 0.231747586, 0.2337182990000004, 0.2323764800000001, 0.23579572700000018, 0.23261196699999998, 0.23267116199999993, 0.22845610800000005, 0.22998198999999975, 0.2357593819999999, 0.23477606500000014, 0.22949926799999965, 0.23082028099999974, 0.23053588100000022, 0.23168322800000007, 0.23190912099999972, 0.22993823600000018, 0.22821233400000018, 0.2256733190000002, 0.23477041099999996, 0.23968846100000007, 0.24146374400000026, 0.23338135000000015, 0.2338325440000002, 0.23285061400000018, 0.22957008599999984, 0.23653870700000024, 0.2313290140000004, 0.22648667700000003, 0.23146164999999996, 0.2306683679999999, 0.23213483800000034, 0.23167995900000005, 0.23876215700000003, 0.23073675799999993, ]
96-29-95	7	[0.23250893400000017, 0.22938174999999994, 0.232904424, 0.2367702359999999, 0.22874721399999975, 0.23135461700000004, 0.2309119970000002, 0.23784673599999984, 0.2375295959999999, 0.23502848899999984, 0.22921087500000015, 0.23303786800000026, 0.23018412899999996, 0.23010633599999997, 0.23480197599999997, 0.22765148600000007, 0.23241663999999984, 0.23600132699999987, 0.23218549799999977, 0.237285623, 0.2432499939999997, 0.23840500600000025, 0.22930236699999984, 0.23436073899999998, 0.23249252899999995, 0.2369397929999999, 0.23247825599999983, 0.22967273599999993, 0.24048597399999982, 0.24037042700000022, 0.23178186300000014, 0.2326888949999999, 0.2312949299999998, 0.231637879, 0.23085685899999975, 0.2330302599999996, 0.23025525700000005, 0.2320278339999997, 0.23207529199999977, 0.24249018599999994, ]
54-17-103	8	[0.23577454799999975, 0.2365898070000001, 0.23291712099999984, 0.23428257799999974, 0.2315820689999999, 0.23212554699999988, 0.2303086310000002, 0.22844566199999994, 0.23863797799999986, 0.23188657200000007, 0.23275771200000017, 0.23258045700000007, 0.23270611799999985, 0.2356971950000002, 0.23378503200000011, 0.23625659100000007, 0.22668097399999976, 0.23089503599999972, 0.235490349, 0.23125269100000034, 0.23215951000000024, 0.2322628309999999, 0.23037132299999996, 0.23057877100000024, 0.2372802690000002, 0.22870733600000026, 0.2376450430000001, 0.22661313800000027, 0.2278770050000003, 0.2347934020000002, 0.23289848100000032, 0.23138384200000006, 0.23746918900000002, 0.2333193229999999, 0.23497682300000022, 0.23009901799999977, 0.22939454900000023, 0.23082446300000026, 0.23293490000000006, 0.25916542699999967, ]
