32-7-51	11	[0.23196110800000014, 0.24082484100000023, 0.23828497799999981, 0.23552519799999994, 0.23862742499999978, 0.23912773300000012, 0.2382010280000002, 0.23083878299999983, 0.2336735990000003, 0.23126493100000012, 0.23597862299999983, 0.23250890299999982, 0.2317144390000001, 0.23208405399999998, 0.23595731399999975, 0.23458937800000035, 0.2335891649999997, 0.23337945799999993, 0.23787877900000032, 0.2376925609999998, 0.23550628799999984, 0.23573430500000025, 0.23753581599999984, 0.2432942149999997, 0.23330513099999983, 0.23532593299999993, 0.232893008, 0.23047256800000016, 0.23159951800000034, 0.2396457780000003, 0.23440332200000036, 0.23141720500000007, 0.2328836789999995, 0.23571426799999973, 0.2301153629999999, 0.23796759900000009, 0.24084009800000006, 0.23279645999999987, 0.23566144999999983, 0.23883837700000043, ]
42-20-1	13	[0.2326261749999996, 0.233529796, 0.2358147500000003, 0.23320259599999993, 0.23263806900000006, 0.2397315830000002, 0.23118804100000023, 0.23825219099999995, 0.23663532499999995, 0.23102623099999997, 0.23900383499999966, 0.23120186699999978, 0.23281478899999986, 0.23218389299999975, 0.2324979840000001, 0.23242393999999988, 0.23961730999999986, 0.23313963299999996, 0.2315604470000001, 0.23552313699999994, 0.23609803200000012, 0.23284582899999995, 0.23051085500000035, 0.23207064200000005, 0.23655769500000012, 0.2290612890000001, 0.2325788310000001, 0.23113100300000022, 0.23404672199999998, 0.23633108800000002, 0.23420370099999976, 0.23492148700000026, 0.235633655, 0.2339405779999999, 0.23262348999999993, 0.2331922000000004, 0.23086041999999996, 0.23683010199999988, 0.23395603599999992, 0.23175050499999994, ]
111-26-88	7	[0.22818691800000002, 0.22829738700000002, 0.2321971340000002, 0.22655631099999995, 0.22705951199999985, 0.2306088199999996, 0.22683614299999988, 0.22773943400000007, 0.2282340490000001, 0.2277776010000001, 0.23039906200000004, 0.2298638180000001, 0.22511375199999994, 0.22742276500000003, 0.232020039, 0.228721991, 0.22990661999999995, 0.23501802299999985, 0.23061928600000003, 0.22933543399999978, 0.22879800400000017, 0.2285542890000003, 0.230438586, 0.23571479399999973, 0.22721360099999988, 0.22555870599999972, 0.22796719900000006, 0.22693486599999968, 0.2306662479999999, 0.22763373899999984, 0.23392105900000004, 0.23220501500000035, 0.23044843700000017, 0.2271110860000003, 0.22527330899999987, 0.225962365, 0.230954267, 0.22605915199999993, 0.2320120619999999, 0.22823049899999992, ]
7-10-61	9	[0.2288100949999996, 0.22747483400000013, 0.23914093800000025, 0.2341689050000002, 0.2598437979999999, 0.23363085100000003, 0.23378246899999988, 0.2316617169999997, 0.23255917900000034, 0.2284649240000003, 0.23227066900000004, 0.22940830300000004, 0.2294041069999997, 0.22615785700000002, 0.22869478600000015, 0.2299776950000001, 0.23190668199999998, 0.23200527699999984, 0.23000776899999975, 0.22745031399999993, 0.23225642299999993, 0.22860405400000028, 0.230002115, 0.22745177500000002, 0.22983380099999984, 0.2307904540000001, 0.2279814550000001, 0.22966452099999968, 0.23415188900000006, 0.23011546999999988, 0.23138580100000006, 0.22959388300000017, 0.23029889800000003, 0.2294620550000004, 0.23275868400000022, 0.22819875199999995, 0.22888559600000002, 0.23220701600000027, 0.23066815000000007, 0.2332674960000003, ]
28-29-51	8	[0.23242232299999976, 0.22907841999999956, 0.23135766000000002, 0.23637773599999967, 0.23399474499999995, 0.2296653799999997, 0.22912513599999995, 0.22663949400000005, 0.2286490640000003, 0.23055822699999995, 0.22753143100000006, 0.22655342499999964, 0.2274660110000002, 0.23071385799999966, 0.2306236270000004, 0.22693160800000012, 0.23206914899999997, 0.22909939999999995, 0.23058362999999993, 0.22566508699999988, 0.23284300800000013, 0.22510002900000003, 0.22838665700000016, 0.2242709409999999, 0.2294399760000001, 0.2312335029999999, 0.2243646290000001, 0.22702853700000025, 0.2301520619999997, 0.22531330000000027, 0.2269787889999999, 0.2325503900000001, 0.22620063400000046, 0.22888293000000015, 0.2276445869999999, 0.22600664699999973, 0.23092039500000006, 0.22941557400000034, 0.2326482369999998, 0.23208776600000025, ]
52-26-29	9	[0.22966990099999984, 0.23100286800000003, 0.22954107700000037, 0.23162423200000015, 0.22749710800000011, 0.23224936499999993, 0.23018133400000007, 0.23530085900000008, 0.23007409600000006, 0.2306459890000001, 0.23010639600000005, 0.23099871100000025, 0.22687399899999994, 0.2319409320000001, 0.23328066199999986, 0.23137026400000016, 0.23260342400000011, 0.22794170099999977, 0.23195900800000047, 0.22732499399999995, 0.22941106000000033, 0.22907233400000004, 0.22867526200000032, 0.22915011200000013, 0.2361257750000001, 0.22964843400000046, 0.23029724600000012, 0.22952620499999998, 0.22966449300000047, 0.2305735069999999, 0.23214667899999952, 0.22861487400000025, 0.22733755199999983, 0.23101848800000013, 0.22607699700000028, 0.23244583200000024, 0.2381234120000002, 0.22857355199999985, 0.22908208499999994, 0.23129958700000008, ]
28-14-50	10	[0.22819555699999983, 0.22866591700000027, 0.22706983399999991, 0.22920880900000018, 0.23532041999999986, 0.22641613100000013, 0.2306980799999998, 0.2286376299999997, 0.2223004620000002, 0.22956451599999994, 0.22962009200000022, 0.2269608540000001, 0.23026715300000022, 0.22995216699999999, 0.22907082400000034, 0.23229611500000003, 0.22615456999999983, 0.22640776099999993, 0.22753363599999998, 0.22844933800000033, 0.23301656900000012, 0.22695541699999966, 0.2250979850000001, 0.2271893519999999, 0.23163593000000038, 0.2253007669999998, 0.22641892499999994, 0.22588415600000022, 0.22732805500000008, 0.22630910400000026, 0.22811377399999966, 0.23068827000000036, 0.22965456100000026, 0.22540056400000008, 0.22438920399999995, 0.22807778300000026, 0.23349872500000046, 0.22978556900000013, 0.22558441299999998, 0.23549289900000003, ]
118-31-125	3	[0.23280831000000024, 0.2257929110000001, 0.2272119370000003, 0.23719690599999987, 0.22513447600000003, 0.22801729300000018, 0.2263357939999997, 0.22762074300000013, 0.23270130499999997, 0.23674038899999994, 0.2368041999999999, 0.228879842, 0.23509372000000006, 0.22555245999999984, 0.22515056600000039, 0.23262556400000012, 0.23277600599999992, 0.23685174399999998, 0.2288405280000001, 0.2292843480000002, 0.22577727399999992, 0.22949719700000015, 0.226624814, 0.22745734100000004, 0.22928069399999984, 0.22722646699999993, 0.23295554099999993, 0.22839808900000014, 0.2306168030000002, 0.2283952170000001, 0.22556649399999973, 0.22603088000000016, 0.22969711099999968, 0.22356391900000006, 0.22491551599999982, 0.22712145699999997, 0.22648924800000003, 0.22573923800000006, 0.22763901499999983, 0.22496409399999973, ]
77-21-36	10	[0.22555542100000014, 0.23091471500000038, 0.22794920900000015, 0.22746563100000028, 0.2301451069999998, 0.22625151499999951, 0.22949528000000008, 0.2281247369999999, 0.2297199619999999, 0.22707994900000017, 0.22966883999999999, 0.22872154100000008, 0.22809889100000014, 0.2282999619999999, 0.23316892699999991, 0.22712433500000007, 0.225841913, 0.22625830600000008, 0.22515104699999977, 0.2292584790000003, 0.23099413000000002, 0.2530834460000002, 0.23225460799999986, 0.23179099599999997, 0.22416797799999966, 0.22672775099999987, 0.2288083270000003, 0.23279889399999965, 0.2369374620000002, 0.2258792879999998, 0.22780132799999997, 0.23338776800000005, 0.2284365140000002, 0.22875472800000018, 0.22629335600000022, 0.2273287319999997, 0.23138691200000006, 0.2275317870000002, 0.22921088299999992, 0.23420745399999987, ]
120-17-93	8	[0.23104949699999988, 0.22889629199999995, 0.23037784399999994, 0.2303866000000001, 0.2264281610000003, 0.2341387130000001, 0.23114009499999977, 0.22668285400000032, 0.23129133800000012, 0.2312685089999995, 0.22755534499999985, 0.23288579899999995, 0.22887894399999986, 0.23779465700000024, 0.23825716200000002, 0.23305709600000002, 0.23306532699999982, 0.23235974299999995, 0.23020365999999992, 0.23013356000000007, 0.22833476799999985, 0.22892998100000028, 0.23320954400000016, 0.23301531099999995, 0.23012476300000007, 0.22862909399999998, 0.2318699740000003, 0.24593376000000022, 0.22699346899999995, 0.23033962299999988, 0.24807657800000005, 0.2317354599999999, 0.2305679920000001, 0.229835864, 0.2273106890000003, 0.23190052199999966, 0.23228807600000012, 0.2418907800000003, 0.22709631900000016, 0.23471043300000005, ]
